,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Noumea,NC,1579382710,-22.28,166.46,80.6,65,39,5.82
1,Barrow,US,1579382838,71.29,-156.79,12.2,92,90,16.11
2,Bluff,NZ,1579382866,-46.6,168.33,59.0,94,98,1.01
3,Pimentel,PE,1579382866,-6.84,-79.93,66.2,29,68,18.34
4,Union,US,1579382866,40.63,-74.27,30.2,86,90,5.7
5,Huambo,AO,1579382866,-12.78,15.74,59.52,97,48,4.7
6,Punta Arenas,CL,1579382866,-53.15,-70.92,57.2,58,75,26.4
7,Mataura,NZ,1579382808,-46.19,168.86,59.0,94,95,1.01
8,New Norfolk,AU,1579382867,-42.78,147.06,60.01,71,40,3.36
9,Townsville,AU,1579382867,-19.25,146.8,84.99,83,3,6.93
10,Salalah,OM,1579382867,17.02,54.09,71.6,64,40,5.82
11,Dolgoderevenskoye,RU,1579382867,55.34,61.34,26.6,79,20,8.95
12,Hong Kong,HK,1579382645,22.29,114.16,66.2,72,20,5.82
13,Fairbanks,US,1579382690,64.84,-147.72,-23.8,67,1,2.19
14,Richards Bay,ZA,1579382868,-28.78,32.04,79.5,81,100,28.07
15,Esim,GH,1579382868,4.87,-2.24,79.29,83,51,4.43
16,Avarua,CK,1579382696,-21.21,-159.78,84.2,83,100,11.41
17,Fortuna,US,1579382565,40.6,-124.16,57.2,50,90,5.82
18,Cidreira,BR,1579382565,-30.18,-50.21,74.1,73,28,23.35
19,Port Alfred,ZA,1579382869,-33.59,26.89,66.99,81,100,3.0
20,Srednekolymsk,RU,1579382312,67.45,153.68,-21.59,98,91,1.48
21,Bambous Virieux,MU,1579382427,-20.34,57.76,80.6,88,40,4.7
22,Albany,US,1579382840,42.6,-73.97,21.0,73,90,9.17
23,Isangel,VU,1579382763,-19.55,169.27,82.4,78,40,15.73
24,George Town,MY,1579382188,5.41,100.34,80.6,78,20,3.36
25,Waipawa,NZ,1579382335,-41.41,175.52,62.01,100,100,14.99
26,San Carlos,VE,1579382870,9.66,-68.58,89.55,47,90,4.43
27,Iqaluit,CA,1579382329,63.75,-68.51,-16.01,75,75,3.36
28,Ushuaia,AR,1579382552,-54.8,-68.3,53.6,66,75,28.86
29,Kathmandu,NP,1579382757,27.72,85.32,41.0,100,20,4.52
30,Hobart,AU,1579382814,-42.88,147.33,60.01,71,40,3.36
31,Leningradskiy,RU,1579382871,69.38,178.42,-7.74,98,100,7.05
32,Freeport,US,1579382714,40.66,-73.58,30.2,79,90,8.05
33,Westport,US,1579382866,41.14,-73.36,30.99,92,90,3.36
